scope,id,n,hits,point_wr_pct,wilson_lower_95_pct,avg_booked_ask_cents,needed_wr_pct,ask_source,small_n,label,note
chair_policy_era_fills,CHAIR@floor_eras_A1_B_C2,137,117,85.4,78.5,82.16,84.16,"booked (137 identity fills, docs/audit/ledger_190_rows_2026-09-22.csv)",False,PROMISING_INSUFFICIENT,
chair_era,CHAIR@A1_floor70,45,36,80.0,66.2,78.2,80.2,booked,False,BELOW_NEED,
chair_era,CHAIR@B_floor80_trial,91,80,87.9,79.6,84.13,85.13,booked,False,PROMISING_INSUFFICIENT,
chair_era,CHAIR@C2_selective_v3,1,1,100.0,20.7,81.0,83.0,booked,True,INSUFFICIENT_N,
chair_price_band,CHAIR@ask>=90,20,20,100.0,83.9,93.1,94.1,booked,False,PROMISING_INSUFFICIENT,all 20 fills at 90-97c won; lower bound 83.9 < need 94.1
chair_price_band,CHAIR@ask<90,117,97,82.9,75.1,80.29,82.29,booked,False,PROMISING_INSUFFICIENT,
seat_grade_frame_support,STREAK@grade_frame_supporting_fills,7,7,100.0,64.6,79.14,81.14,booked fills where the seat leaned with the booked side AT GRADE (T-0; entry-time support not stored),True,INSUFFICIENT_N,
seat_grade_frame_support,CHAIN@grade_frame_supporting_fills,5,5,100.0,56.6,79.8,81.8,booked fills where the seat leaned with the booked side AT GRADE (T-0; entry-time support not stored),True,INSUFFICIENT_N,
seat_grade_frame_support,CARRY@grade_frame_supporting_fills,3,3,100.0,43.8,76.67,78.67,booked fills where the seat leaned with the booked side AT GRADE (T-0; entry-time support not stored),True,INSUFFICIENT_N,
seat_grade_frame_support,CASCADE@grade_frame_supporting_fills,3,3,100.0,43.8,75.33,77.33,booked fills where the seat leaned with the booked side AT GRADE (T-0; entry-time support not stored),True,INSUFFICIENT_N,
seat_grade_frame_support,STRIKE@grade_frame_supporting_fills,1,1,100.0,20.7,80.0,82.0,booked fills where the seat leaned with the booked side AT GRADE (T-0; entry-time support not stored),True,INSUFFICIENT_N,
seat_grade_frame_support,WICK@grade_frame_supporting_fills,1,1,100.0,20.7,82.0,84.0,booked fills where the seat leaned with the booked side AT GRADE (T-0; entry-time support not stored),True,INSUFFICIENT_N,
skill_card_graded_reads,CARRY.trend_carry [SHADOW],155,150,96.8,92.7,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",False,LOWER_BOUND_CLEARS_NEED,ev_at_grade=1.97
skill_card_graded_reads,CASCADE.exhaust [SHADOW],5,2,40.0,11.8,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",True,INSUFFICIENT_N,ev_at_grade=-1.40
skill_card_graded_reads,CASCADE.force_cluster [SHADOW],136,108,79.4,71.9,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",False,BELOW_NEED,ev_at_grade=0.46
skill_card_graded_reads,CASCADE.proxy_flush [SHADOW],1035,722,69.8,66.9,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",False,BELOW_NEED,ev_at_grade=0.41
skill_card_graded_reads,CHAIN.oi_accel [SHADOW],15,15,100.0,79.6,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",True,PROMISING_INSUFFICIENT,ev_at_grade=1.07
skill_card_graded_reads,CHAIN.oi_against [BENCH],447,27,6.0,4.2,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",False,BELOW_NEED,ev_at_grade=-2.70
skill_card_graded_reads,CHAIN.oi_flush_sit [SHADOW],6,6,100.0,61.0,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",True,INSUFFICIENT_N,ev_at_grade=1.17
skill_card_graded_reads,CHAIN.oi_stall [SHADOW],22,21,95.5,78.2,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",False,PROMISING_INSUFFICIENT,ev_at_grade=1.14
skill_card_graded_reads,CHAIN.oi_with_price [SHADOW],685,660,96.4,94.7,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",False,LOWER_BOUND_CLEARS_NEED,ev_at_grade=1.53
skill_card_graded_reads,CHEAP.value [BENCH],499,0,0.0,0,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",False,BELOW_NEED,ev_at_grade=-3.47
skill_card_graded_reads,CLOCK.session_prior [SHADOW],2,1,50.0,9.5,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",True,INSUFFICIENT_N,ev_at_grade=-1.00
skill_card_graded_reads,DRIFT.accel_impulse [SHADOW],56,56,100.0,93.6,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",False,LOWER_BOUND_CLEARS_NEED,ev_at_grade=1.18
skill_card_graded_reads,DRIFT.aligned_3h [LIVE],123,123,100.0,97.0,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",False,LOWER_BOUND_CLEARS_NEED,ev_at_grade=1.11
skill_card_graded_reads,DRIFT.mtf_stack [SHADOW],105,105,100.0,96.5,82.16,84.16,"REFERENCE ONLY: policy-era avg booked ask 82.16 (card-level booked ask UNKNOWN; card hits are graded reads at grading quotes, not fills)",False,LOWER_BOUND_CLEARS_NEED,ev_at_grade=1.10
